x,y,z
-9.379345092773436932e+01,3.319451370239258381e+01,-6.820733070373535156e+00
-9.369345092773437500e+01,3.329451370239257812e+01,-6.818688392639160156e+00
-9.359345092773438068e+01,3.329451370239257812e+01,-6.817187786102294922e+00
-9.349345092773437216e+01,3.329451370239257812e+01,-6.815794467926025391e+00
-9.339345092773437784e+01,3.339451370239257955e+01,-6.813828468322753906e+00
-9.329345092773436932e+01,3.349451370239258097e+01,-6.811543941497802734e+00
-9.319345092773437500e+01,3.349451370239258097e+01,-6.809303760528564453e+00
-9.309345092773438068e+01,3.349451370239258097e+01,-6.807006835937500000e+00
-9.299345092773437216e+01,3.359451370239258239e+01,-6.803311824798583984e+00
-9.289345092773437784e+01,3.359451370239258239e+01,-6.801143646240234375e+00
-9.279345092773436932e+01,3.359451370239258239e+01,-6.798849582672119141e+00
-9.269345092773437500e+01,3.359451370239258239e+01,-6.796848773956298828e+00
-9.259345092773438068e+01,3.359451370239258239e+01,-6.791498184204101562e+00
-9.249345092773437216e+01,3.359451370239258239e+01,-6.788141250610351562e+00
-9.239345092773437784e+01,3.359451370239258239e+01,-6.784481048583984375e+00
-9.229345092773436932e+01,3.359451370239258239e+01,-6.779837131500244141e+00
-9.219345092773437500e+01,3.359451370239258239e+01,-6.776070117950439453e+00
-9.209345092773438068e+01,3.359451370239258239e+01,-6.774818897247314453e+00
-9.199345092773437216e+01,3.359451370239258239e+01,-6.773517608642578125e+00
-9.189345092773437784e+01,3.359451370239258239e+01,-6.772581100463867188e+00
-9.179345092773436932e+01,3.359451370239258239e+01,-6.771610736846923828e+00
-9.169345092773437500e+01,3.359451370239258239e+01,-6.770691871643066406e+00
-9.159345092773438068e+01,3.359451370239258239e+01,-6.770090579986572266e+00
-9.149345092773437216e+01,3.359451370239258239e+01,-6.769299030303955078e+00
-9.139345092773437784e+01,3.359451370239258239e+01,-6.768788814544677734e+00
-9.129345092773436932e+01,3.359451370239258239e+01,-6.768373012542724609e+00
-9.119345092773437500e+01,3.359451370239258239e+01,-6.767585277557373047e+00
-9.109345092773438068e+01,3.359451370239258239e+01,-6.766583442687988281e+00
-9.099345092773437216e+01,3.359451370239258239e+01,-6.765405654907226562e+00
-9.089345092773437784e+01,3.359451370239258239e+01,-6.764119625091552734e+00
-9.079345092773436932e+01,3.359451370239258239e+01,-6.762513160705566406e+00
-9.069345092773437500e+01,3.359451370239258239e+01,-6.760959148406982422e+00
-9.059345092773438068e+01,3.359451370239258239e+01,-6.760290145874023438e+00
-9.049345092773437216e+01,3.359451370239258239e+01,-6.759533405303955078e+00
-9.039345092773437784e+01,3.359451370239258239e+01,-6.758563995361328125e+00
-9.029345092773436932e+01,3.359451370239258239e+01,-6.757520198822021484e+00
-9.019345092773437500e+01,3.359451370239258239e+01,-6.756139755249023438e+00
-9.009345092773438068e+01,3.359451370239258239e+01,-6.754324913024902344e+00
-8.999345092773437216e+01,3.359451370239258239e+01,-6.752366065979003906e+00
-8.989345092773437784e+01,3.359451370239258239e+01,-6.750764846801757812e+00
-8.979345092773436932e+01,3.359451370239258239e+01,-6.749063014984130859e+00
-8.969345092773437500e+01,3.359451370239258239e+01,-6.747770309448242188e+00
-8.959345092773438068e+01,3.359451370239258239e+01,-6.745300769805908203e+00
-8.949345092773437216e+01,3.359451370239258239e+01,-6.743405342102050781e+00
-8.939345092773437784e+01,3.359451370239258239e+01,-6.741551876068115234e+00
-8.929345092773436932e+01,3.359451370239258239e+01,-6.740746498107910156e+00
-8.919345092773437500e+01,3.359451370239258239e+01,-6.737473964691162109e+00
-8.909345092773438068e+01,3.359451370239258239e+01,-6.735005855560302734e+00
